ticker,oldest_date,Name_,IncInDt,LastName,FirstName,URL
AAISA,,Administradora Americana de Inversons SA,2021-10-05 00:00:00.000,Legher Aguilar,David,https://www.aaisa.net/
AAL,2013-12-11,American Airlines Group Inc,1982-02-16 00:00:00.000,Kerr,Derek,https://americanairlines.gcs-web.com/
AALI.H,,Advance Lithium Corp,2007-04-04 00:00:00.000,Newell,Bradley,https://advancelithiumcorp.com/
AALQL,,Rumo SA (ADR),1997-09-30 00:00:00.000,Eduardo Martins,Marcelo,https://rumolog.com/
AAM,2024-09-16,,,,,
AAM.UN,2024-08-01,,,,,
AAMCF,,Altisource Asset Management Corp,2012-03-15 00:00:00.000,Byrd,Ricardo,https://www.altisourceamc.com/
AAME,2007-08-20,Atlantic American Corporation,1968-01-04 00:00:00.000,Howell,Hilton,https://www.atlam.com/
AAN,,Aton Resources Inc,2008-04-30 00:00:00.000,Vahk,Tonno,https://www.atonresources.com/
AAOI,2013-09-26,,,,,
AAON,2007-08-20,Aaon Inc,1987-08-18 00:00:00.000,Fields,Gary,https://www.aaon.com/
AAP,2007-08-20,"Advance Auto Parts, Inc.",2001-08-01 00:00:00.000,O'Kelly,Shane,https://shop.advanceautoparts.com/
AAPB,2022-08-09,,,,,
AAPD,2022-08-09,,,,,
AAPL,2007-08-20,Apple Inc,1977-01-03 00:00:00.000,Cook,Timothy,https://www.apple.com/
AAPR,2024-04-01,,,,,
AAPT,,All American Pet Co Inc,2006-01-04 00:00:00.000,Schwartz,Barry,http://www.allamericanpetcompany.com/
AAPU,2022-08-09,,,,,
AAPX,2024-01-11,,,,,
AAPY,2023-10-27,,,,,
AAT,2011-01-13,ATI Airtest Technologies Inc.,1996-03-13 00:00:00.000,Konyi,Theodore,https://www.airtest.com/
AAT,2011-01-13,"American Assets Trust, Inc",2010-07-16 00:00:00.000,Rady,Ernest,https://www.americanassetstrust.com/
AATC,,Autoscope Technologies Corp,2021-04-23 00:00:00.000,Kruglick,Ezekiel,https://www.autoscope.com
AAUAF,,Almaden Minerals Ltd.,2002-02-01 00:00:00.000,Poliquin,Morgan,https://www.almadenminerals.com/
AAV,,Advantage Energy Ltd,2007-09-05 00:00:00.000,Belenkie,Michael,https://www.advantageog.com/
AAWH.U,,Ascend Wellness Holdings Inc,2018-05-15 00:00:00.000,Brill,Samuel,https://www.awholdings.com/
AAXJ,2008-08-18,,,,,
AAZ,,Azincourt Energy Corp,2011-04-07 00:00:00.000,Klenman,Alex,https://azincourtenergy.com/
AB,2007-08-20,Alliancebernstein Holding LP,1987-11-18 00:00:00.000,Bernstein,Seth,https://www.alliancebernstein.com/corporate/en/investor-relations/tax-information.html
AB.H,,Asbestos Corporation Ltd.,1980-12-11 00:00:00.000,Berard,Guy,https://mazarin.ca/
ABAT,2023-09-21,American Battery Technology Co,2011-10-06 00:00:00.000,Melsert,Ryan,https://americanbatterytechnology.com/
ABBB,,Auburn Bancorp Inc,,Thompson,Claire,http://www.auburnsavings.com
ABBI1,,ABB SA,1952-08-09 00:00:00.000,Rohde Aicardi,Enrique Daniel,http://new.abb.com/south-america
ABBV,2013-01-04,AbbVie Inc,2012-04-10 00:00:00.000,Michael,Robert,https://www.abbvie.com/
ABBY,,Abby Inc,2000-12-11 00:00:00.000,Flores,Amanda,http://www.abbyinc.com/
ABC,,ABC SA,1998-11-13 00:00:00.000,Vial Echeverria,Leonidas Anibal,https://www.lapolar.cl/
ABC.A,,Banco del Caribe CA Banco Universal,1958-07-09 00:00:00.000,Hernandez Delfino,Carlos,https://www.bancaribe.com.ve/
ABCB,2024-07-23,Ameris Bancorp,1980-12-18 00:00:00.000,Miller,James,https://www.amerisbank.com/
ABCB4,,Banco ABC Brasil SA,1983-12-27 00:00:00.000,da Silva,Tito Enrique,https://www.abcbrasil.com.br/
ABCE,,ABCO Energy Inc,2004-07-29 00:00:00.000,Mildebrandt,Michael,https://abcoenergy.com/
ABCL,2020-12-11,AbCellera Biologics Inc,2012-11-08 00:00:00.000,Lecault,Veronique,https://www.abcellera.com/
ABCS,2023-12-20,,,,,
ABENU,,Advanced BioEnergy LLC,2005-01-04 00:00:00.000,Schlieman,J.,http://www.advancedbioenergy.com/
ABEO,2015-06-24,Abeona Therapeutics Inc,1989-06-22 00:00:00.000,Seshadri,Vishwas,https://abeonatherapeutics.com/
ABEQ,2020-01-22,,,,,
ABEV,2013-11-13,Ambev SA (ADR),2005-07-08 00:00:00.000,Doukeris,Michel,https://www.ambev.com.br/
ABEV3,,Ambev SA,2005-07-08 00:00:00.000,Doukeris,Michel,https://www.ambev.com.br/
ABFL,2024-12-13,,,,,
ABG,2007-08-20,"Asbury Automotive Group, Inc.",2002-02-15 00:00:00.000,Hult,David,https://www.asburyauto.com/
ABG.H,,AMG Bioenergy Resources Holdings Ltd,2006-12-15 00:00:00.000,Khuen,Pang,https://amgbioenergy.com/
ABHY,2024-12-13,,,,,
